date,window_size,overlap,n_features,n_kfolds,balanced_accuracy,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives
2025-03-22 14:28:55,45,40,50,5,0.8671024026554914,0.7593344560040405,0.7506201894101707,0.75493378043465,70104,1170,1226,3691
2025-03-22 20:26:50,50,45,50,5,0.878439481676774,0.7859941140057685,0.7717246681075098,0.7787719688616184,69690,1050,1140,3856
2025-03-22 20:29:45,75,50,50,5,0.836541561147671,0.6223782750979604,0.7031916455526286,0.6602980984997348,13420,416,289,686
2025-03-22 20:33:10,100,80,50,5,0.8888050528296196,0.7090498701765948,0.8012638370025227,0.7522764421517945,16353,396,239,965
2025-03-22 20:34:21,200,100,50,5,0.8969476112719101,0.6554688542116609,0.8285346867391379,0.7314842048525976,2937,105,41,200
2025-03-22 21:10:24,60,45,50,5,0.8211204862253556,0.6261267149101718,0.670786058615615,0.6476179482465818,22754,668,549,1118
2025-03-22 21:35:51,25,20,50,5,0.8098999542146155,0.6172915266122596,0.6473474762707672,0.631960433511038,70990,2011,1767,3243
2025-03-22 21:42:43,25,20,50,5,0.7922322234240472,0.6181182258727391,0.6103462840832006,0.614206934135639,71111,1889,1952,3058
2025-03-23 08:56:35,55,50,50,5,0.8897046299651519,0.8055722844780704,0.7926363674058775,0.7990150680306257,69484,931,1009,3857
2025-03-23 09:13:38,55,50,50,5,0.8857840064429761,0.8061334149915371,0.7862056213017751,0.796015241173761,68852,1022,1156,4251
2025-03-23 09:31:10,55,50,50,5,0.8880586971011948,0.8054301633843229,0.7901183637196268,0.7977002593182759,69156,982,1079,4065
2025-03-23 10:48:19,60,55,50,5,0.9109336652830861,0.7979507429627489,0.8356247246196636,0.8163476338733726,69293,966,750,3816
2025-03-23 11:04:20,55,50,50,5,0.9015431682401427,0.7837187344682015,0.8177503203253549,0.8003647642480217,69653,1036,837,3755
2025-03-23 11:27:12,65,60,50,5,0.9170208026644431,0.8071954911957503,0.847140842856194,0.8266760751549882,68936,915,691,3830
2025-03-23 11:40:17,70,65,50,5,0.9257708479695654,0.8187861921360546,0.8636116533663545,0.8405986641684631,68688,839,598,3791
2025-03-23 11:53:52,75,70,50,5,0.9310498023256943,0.8385192060268583,0.8729440954645804,0.8553739729130365,68263,748,565,3886
2025-03-23 12:43:58,80,75,50,5,0.9389140482353999,0.851580516276689,0.8875619391087455,0.869187438280467,68019,668,485,3834
2025-03-23 13:09:07,80,75,50,5,0.9405456171588262,0.8343203983408181,0.8922372543221305,0.8622995210799485,67922,765,465,3855
2025-03-23 16:56:36,80,75,50,5,0.9483307933799253,0.804146380854668,0.9106144946728725,0.8540682390388927,67729,958,386,3934
2025-03-23 17:02:03,80,75,50,5,0.9519078194482283,0.7756511269042423,0.9205666983808618,0.8419114257108429,67537,1150,343,3977
2025-03-29 12:01:39,80,75,50,5,0.9522926951489881,0.776090669150293,0.9213073319790516,0.8424806470311619,67539,1148,340,3980
2025-04-01 11:41:51,80,75,50,5,0.9517358215588745,0.7841600939100147,0.9195019157088122,0.8464397176500589,67139,1093,347,3972
