,-0.014914
0.150269,0.294189,0.984009,0.087352,-0.035154,-0.026632
0.142944,0.291870,0.962891,0.082025,-0.023436,-0.018110
0.152832,0.289307,0.949707,0.062851,-0.014914,-0.028762
0.154053,0.283203,0.951416,0.040480,-0.012783,-0.034088
0.152466,0.286743,0.956787,0.031958,-0.014914,-0.028762
0.152832,0.291138,0.961304,0.031958,-0.017044,-0.018110
0.151245,0.291626,0.960815,0.018110,-0.011718,-0.002131
0.148804,0.276367,0.959961,0.004261,0.003196,0.000000
0.148193,0.271362,0.957520,0.013848,0.012783,0.006392
0.144653,0.278320,0.950195,0.017044,0.018110,0.014914
0.154297,0.279541,0.946289,0.024501,0.018110,0.018110
0.152100,0.288208,0.942749,0.037284,0.019175,0.015979
0.147705,0.297607,0.950562,0.034088,0.022371,0.012783
0.148315,0.293335,0.953125,0.026632,0.022371,0.021305
0.149048,0.281738,0.948120,0.021305,0.026632,0.028762
0.152954,0.270752,0.945801,0.035154,0.034088,0.029827
0.158936,0.269409,0.946777,0.037284,0.038350,0.031958
0.167969,0.265381,0.955811,0.027697,0.037284,0.029827
0.179199,0.275635,0.968628,0.042611,0.022371,0.029827
0.175537,0.283081,0.955444,0.046872,0.007457,0.018110
0.166260,0.283936,0.942505,0.035154,0.006392,0.003196
0.168823,0.280151,0.946411,0.000000,0.005326,-0.020240
0.162354,0.279541,0.959229,0.004261,-0.006392,-0.023436
0.152222,0.297607,0.954590,-0.004261,-0.003196,-0.028762
0.157227,0.295410,0.954712,-0.040480,-0.009587,-0.029827
0.163696,0.289673,0.953247,-0.055394,-0.018110,-0.036219
0.146606,0.297607,0.957520,-0.105461,-0.009587,-0.075634
0.144043,0.292847,0.960693,-0.142745,-0.019175,-0.071373
0.149170,0.270386,0.948486,-0.170442,-0.023436,-0.055394
0.143921,0.258179,0.941528,-0.162986,0.001065,-0.064981
0.138672,0.259399,0.947266,-0.166181,0.004261,-0.056459
0.149292,0.251709,0.977783,-0.147007,0.010653,-0.041545
0.147705,0.269775,0.982666,-0.109722,-0.018110,-0.022371
0.160522,0.300537,0.957764,-0.150202,-0.020240,0.003196
0.168701,0.253418,0.937500,-0.180030,-0.014914,-0.019175
0.166016,0.230713,0.939209,-0.124636,-0.003196,-0.008522
0.154785,0.250488,0.962402,-0.107592,-0.002131,-0.020240
0.147217,0.276855,0.986206,-0.106526,-0.018110,-0.001065
0.155396,0.269775,0.976562,-0.133158,-0.031958,0.002131
0.166138,0.255371,0.959961,-0.141680,-0.026632,0.036219
0.168579,0.295166,0.970215,-0.143811,-0.020240,0.108657
0.166016,0.334473,0.964478,-0.173638,-0.033023,0.205596
