ax,ay,az,gx,gy,gz
-0.822144,0.150635,0.109253,1.116398,-0.528371,0.983239
-0.944092,0.250977,0.117432,0.665791,-0.817058,0.935303
-1.055786,0.297119,0.096802,0.161920,-1.132377,0.938498
-1.104980,0.289063,0.061768,-0.404801,-1.347560,0.966195
-1.084351,0.202515,0.059692,-0.835168,-1.348625,1.037568
-1.052002,0.088257,0.078125,-0.899084,-1.328385,1.036503
-1.039185,0.015259,0.068604,-0.598679,-1.260208,1.016263
-0.990845,0.014771,0.064697,-0.171508,-1.081244,0.985370
-0.933960,0.027710,0.058228,0.266316,-0.811732,0.938498
-0.916992,0.111816,0.034424,0.525176,-0.514523,0.879909
-0.943115,0.191650,0.011719,0.386691,-0.154463,0.839429
-0.962402,0.262573,-0.003540,-0.002131,0.022371,0.813862
-0.958374,0.279907,-0.007935,-0.517719,0.171508,0.790427
-0.947754,0.273071,-0.015747,-1.052482,0.279099,0.782970
-0.928101,0.243652,-0.031250,-1.531851,0.338754,0.794688
-0.905640,0.187134,-0.048584,-1.875932,0.346211,0.796818
-0.887207,0.119019,-0.049683,-2.038917,0.335558,0.766991
-0.884277,0.073242,-0.035278,-2.053831,0.355798,0.704140
-0.911499,0.045044,-0.015015,-1.959022,0.411192,0.613593
-0.920532,0.045898,-0.004517,-1.809885,0.502805,0.454868
-0.968750,0.061890,-0.008667,-1.589375,0.518784,0.346211
-0.904907,0.051514,-0.026123,-1.446630,0.519849,0.249272
-1.053955,0.051025,-0.055054,-1.223989,0.481500,0.101200
-1.100098,0.025879,-0.061768,-1.005610,0.456999,-0.108657
-1.249756,0.113159,-0.060303,-0.808536,0.406931,0.035154
-1.234009,0.088013,-0.057739,-0.694553,0.416519,-0.061785
-1.200562,0.149780,-0.065063,-0.667921,0.466586,-0.156594
-1.163086,0.181763,-0.061768,-0.756338,0.563525,-0.272708
-1.157959,0.258545,-0.045532,-0.962999,0.684965,-0.353668
-1.100220,0.312500,-0.020386,-1.509480,0.846886,-0.285491
-0.990112,0.337158,0.008667,-1.902563,0.919324,-0.162986
-0.913208,0.299805,0.011719,-2.235991,0.941694,-0.015979
-0.863037,0.188232,0.008545,-2.391520,0.885235,-0.074569
-0.941650,0.177856,-0.022095,-2.389389,0.751012,0.056459
-1.023315,0.114258,-0.048950,-2.340387,0.521980,0.052198
-1.068237,0.115112,-0.068604,-2.253035,0.236489,0.012783
-1.096924,0.106812,-0.098633,-2.149704,-0.013848,-0.043676
-1.075928,0.094849,-0.136108,-2.011220,-0.180030,-0.039415
-1.031250,0.096924,-0.172119,-1.773666,-0.235424,0.117179
-0.959229,0.031372,-0.186768,-1.270861,-0.182160,0.024501
-0.909912,0.030029,-0.186646,-0.850081,-0.080960,0.068177
-0.924805,0.017944,-0.198853,-0.363255,0.047937,0.093743
-0.928833,0.035767,-0.210449,0.098004,0.129962,0.145941
-0.902466,0.075562,-0.219727,0.403735,0.150202,0.103331
-0.923950,0.109009,-0.221069,0.550742,0.131028,0.029827
-0.947754,0.156128,-0.206665,0.529437,0.101200,-0.044741
-0.946045,0.205933,-0.189575,0.357929,0.079895,-0.121440
-0.960571,0.230469,-0.180542,0.087352,0.064981,-0.198139
-0.983521,0.227295,-0.164062,-0.298274,0.063916,-0.280165
-1.034546,0.213623,-0.122925,-0.478304,0.073503,-0.290817
-1.046143,0.201050,-0.093140,-0.588026,0.076699,-0.294013
-1.098022,0.165894,-0.074707,-0.578439,0.078830,-0.292948
