ax,ay,az,gx,gy,gz
-0.660156,0.133057,-0.082520,0.251403,0.549677,0.343015
-0.615112,0.219360,0.072754,0.245011,1.162204,0.306796
-0.659790,0.352417,0.312988,0.250337,1.707620,0.313188
-0.742920,0.332520,0.361816,-0.236489,1.866344,0.258859
-0.801880,0.283203,0.288574,-1.018393,1.678857,0.136354
-0.859253,0.194824,0.247681,-1.499893,1.421063,0.281230
-0.853638,0.061401,0.290405,-1.617072,1.165400,0.370712
-0.945923,-0.382324,0.579224,-0.627441,0.831972,0.564590
-1.069336,-0.560303,0.827637,0.550742,0.358994,0.355798
-1.161865,-0.317871,0.917480,0.650877,-0.219445,-0.086286
-1.004883,-0.281250,0.619751,1.160073,-0.248207,0.057524
-0.900391,-0.149170,0.445435,1.552091,-0.066046,0.040480
-0.960693,0.012939,0.295776,1.847169,-0.085221,-0.044741
-0.953491,0.081421,0.184448,2.257296,-0.180030,-0.089482
-0.970215,0.174438,0.118408,2.461827,-0.230097,-0.170442
-1.007080,0.256470,0.032471,2.151835,-0.347276,-0.235424
-0.997437,0.229126,-0.000122,1.765144,-0.515588,-0.300405
-0.947998,0.234009,-0.020874,1.409345,-0.575243,-0.426106
-0.896118,0.249512,-0.003662,1.075917,-0.453803,-0.537959
-0.869507,0.213257,0.038818,0.917193,-0.072438,-0.730772
-0.929077,0.188843,0.071655,0.915063,0.219445,-0.858603
-1.014038,0.220093,0.061035,0.846886,0.486826,-0.982174
-1.137695,0.295166,0.084717,0.651942,0.742490,-1.084440
-1.292725,0.403687,0.152100,0.361125,0.999218,-1.177118
-1.452515,0.561035,0.233887,-0.101200,1.252751,-1.229316
-1.560303,0.715332,0.257813,-0.728641,1.339038,-1.162204
-1.528320,0.753906,0.222900,-1.429585,1.145160,-0.866060
-1.372437,0.623413,0.172363,-2.049570,0.777643,-0.508131
-1.140137,0.434570,0.138184,-2.367018,0.486826,0.051133
-0.953125,0.183228,0.108154,-2.199772,0.224771,0.364321
-0.879883,0.079468,0.112915,-1.812016,0.056459,0.524110
-0.947144,0.089600,0.117676,-1.477522,-0.170442,0.564590
-1.020508,0.119385,0.120239,-1.253817,-0.496413,0.597614
-1.088257,0.151733,0.110962,-1.132377,-0.857538,0.670052
-1.150269,0.171143,0.100708,-1.064200,-1.215467,0.742490
-1.159058,0.171265,0.062744,-1.010936,-1.487110,0.823450
-1.111938,0.134888,0.016968,-0.904410,-1.556352,0.863930
-1.102661,0.100830,-0.012939,-0.692422,-1.505219,0.830907
-1.135254,0.085083,-0.019897,-0.225836,-1.265535,0.768056
-1.140991,0.085937,-0.001221,0.152333,-0.880974,0.727576
-1.114136,0.070068,-0.036743,0.515588,-0.525176,0.777643
-1.111816,0.010010,-0.107544,0.835168,-0.402670,0.823450
-1.069092,0.012573,-0.162476,1.067395,-0.456999,0.842625
-1.018066,0.043213,-0.191406,1.232512,-0.527306,0.934237
-0.985229,0.056152,-0.190308,1.339038,-0.590157,1.021589
-0.964233,0.072632,-0.161499,1.336907,-0.633833,1.049286
-0.946167,0.084473,-0.138184,1.219728,-0.667921,1.043960
-0.919556,0.088501,-0.080322,0.988566,-0.683900,1.035437
-0.906494,0.073120,-0.036865,0.658334,-0.736098,0.985370
-0.869385,0.057129,-0.015747,0.506001,-0.735033,0.903345
-0.830688,0.028564,0.010986,0.443150,-0.675378,0.761664
-0.802490,0.003906,0.041260,0.475108,-0.539024,0.563525
-0.772095,-0.015259,0.064087,0.610397,-0.307862,0.313188
-0.750977,-0.017456,0.059448,0.791492,-0.025566,0.037284
-0.768677,0.000977,0.023437,0.889496,0.247141,-0.207727
