ax,ay,az,gx,gy,gz
-1.048218,-0.070923,-0.259399,-1.316667,-0.390952,0.144876
-1.017822,-0.064331,-0.243652,-1.020524,-0.275904,0.051133
-1.030762,-0.000854,-0.239136,-0.835168,-0.174703,0.104396
-1.005859,-0.000854,-0.245728,-0.664725,-0.106526,-0.035154
-1.013062,0.065430,-0.248413,-0.610397,-0.039415,-0.025566
-0.917114,0.070801,-0.234863,-0.618919,0.017044,-0.136354
-0.966431,0.207520,-0.223755,-0.794688,0.066046,0.161920
-0.894409,0.094116,-0.195679,-1.015197,0.107592,0.001065
-0.840088,0.146606,-0.174561,-1.148355,0.155529,-0.166181
-0.873291,0.167480,-0.153564,-1.303884,0.176834,-0.209857
-0.846436,0.161499,-0.132324,-1.433846,0.176834,-0.305731
-0.853760,0.200928,-0.121460,-1.569135,0.156594,-0.340885
-0.897949,0.227539,-0.113525,-1.767274,0.104396,-0.336624
-0.940552,0.238892,-0.111694,-2.002698,0.027697,-0.337689
-0.974487,0.181396,-0.109009,-1.967544,-0.045806,-0.343015
-1.058960,0.098389,-0.091797,-1.691641,-0.053263,-0.351537
-1.111206,0.119751,-0.080811,-1.419998,-0.068177,-0.305731
-1.156250,0.142700,-0.077637,-1.242099,-0.118244,-0.173638
-1.189453,0.131470,-0.052002,-1.192031,-0.196009,-0.038350
-1.179810,0.024414,-0.044678,-1.037568,-0.119310,0.233293
-1.127930,0.032715,-0.056763,-0.635963,0.181095,0.521980
-1.195557,0.140259,-0.072754,-0.116114,0.288687,0.565656
-1.323730,0.325562,-0.101685,0.148072,0.117179,0.427171
-1.369385,0.385986,-0.128540,-0.389887,-0.128897,0.550742
-1.387817,0.338013,-0.083496,-0.905475,-0.164051,0.596548
-1.301514,0.373169,-0.011841,-1.511611,-0.103331,0.580569
-1.145630,0.381348,0.044556,-2.044243,0.042611,0.628506
-0.966309,0.308960,0.075195,-2.378736,0.213053,0.746751
-0.800659,0.169189,0.097534,-2.406433,0.281230,0.871387
-0.664185,0.011230,0.079102,-2.135856,0.226901,1.003479
-0.566772,-0.153931,0.068726,-1.687380,0.077764,1.005610
-0.525513,-0.218994,0.083984,-1.146225,-0.107592,0.683900
-0.580322,-0.108398,0.099243,-0.742490,-0.285491,0.479369
-0.616333,-0.032593,0.109985,-0.415453,-0.432498,0.319579
-0.746948,0.067261,0.097900,-0.388822,-0.432498,0.156594
-0.840576,0.099365,0.089233,-0.526241,-0.376038,-0.051133
-0.919067,0.175171,0.079102,-0.694553,-0.237554,-0.320645
-1.015381,0.197510,0.068115,-0.950216,-0.070307,-0.325971
-1.054932,0.179810,0.043457,-1.074852,0.106526,-0.464455
-1.078613,0.199341,0.019531,-1.054612,0.290817,-0.613593
