ax,ay,az,gx,gy,gz
-0.875244,0.048950,0.389526,-0.491087,0.237554,0.009587
-0.846436,-0.022339,0.361572,-0.320645,0.150202,0.017044
-0.824585,-0.041870,0.340210,-0.013848,0.070307,0.012783
-0.811401,-0.014404,0.333496,0.294013,0.045806,0.010653
-0.852661,0.052856,0.329468,0.608266,0.062851,0.012783
-0.906372,0.098633,0.292725,0.682835,0.076699,0.003196
-0.966675,0.151367,0.253784,0.622115,0.068177,-0.008522
-1.015991,0.185059,0.227051,0.476173,0.042611,0.017044
-1.059204,0.186646,0.182129,0.355798,0.020240,0.085221
-1.186157,0.163940,0.161133,0.262055,0.041545,0.121440
-1.381958,0.153076,0.179565,0.196009,0.076699,0.152333
-1.515625,0.133911,0.226440,0.193878,0.104396,0.258859
-1.398315,0.111694,0.216919,0.345146,0.111853,0.479369
-1.227295,0.105957,0.131836,0.468717,0.118244,0.703075
-1.097656,0.120117,0.154785,0.479369,0.116114,0.815993
-1.019897,0.121826,0.183594,0.450607,0.136354,0.906540
-0.931763,0.130981,0.207886,0.356864,0.186421,0.942759
-0.874268,0.147217,0.211426,0.178964,0.223706,0.910801
-0.870117,0.159912,0.198486,-0.070307,0.204531,0.829841
-0.880981,0.166016,0.175415,-0.351537,0.120375,0.731837
-0.884888,0.159424,0.148315,-0.623180,-0.006392,0.644485
-0.956055,0.116821,0.120483,-0.843690,-0.152333,0.537959
-1.086304,0.043335,0.109375,-0.846886,-0.425041,0.364321
-1.221069,-0.019287,0.094971,-0.649812,-0.593353,0.260990
-1.261353,-0.060791,0.068115,-0.259925,-0.762730,0.220510
-1.204102,-0.071045,0.023315,0.278034,-0.917193,0.248207
-1.118896,-0.060059,-0.019653,0.857538,-1.025850,0.333428
-1.065674,-0.038696,-0.045288,1.381649,-1.056743,0.442085
-1.028198,-0.013550,-0.052979,1.796037,-1.012002,0.543285
-0.985596,0.010742,-0.058105,2.104963,-0.901214,0.622115
-0.933350,0.050781,-0.063965,2.266884,-0.751012,0.657268
-0.876465,0.107544,-0.063232,2.234926,-0.579504,0.627441
-0.836548,0.169922,-0.013306,1.734251,-0.300405,0.448477
-0.854004,0.225342,0.016113,1.171791,-0.155529,0.268447
-0.870239,0.223267,0.022949,0.547546,-0.088417,0.064981
-0.871826,0.192627,0.025391,-0.014914,-0.087352,-0.137419
-0.869141,0.133789,0.027710,-0.377104,-0.118244,-0.324906
-0.868652,0.086304,0.036987,-0.565656,-0.140615,-0.525176
-0.880737,0.044312,0.050903,-0.514523,-0.126767,-0.686031
-0.899414,0.013062,0.063843,-0.270577,-0.083091,-0.868191
-0.954834,0.032593,0.064941,0.044741,-0.014914,-0.935303
-1.006348,0.032104,0.066650,0.497479,0.034088,-1.121724
-1.075195,0.105713,0.064331,0.714793,0.038350,-1.178183
-1.101196,0.151367,0.057617,0.847951,0.018110,-1.150486
-1.109253,0.182495,0.045532,0.912932,-0.023436,-1.091897
-1.113281,0.192871,0.036743,0.931041,-0.066046,-1.040764
-1.111694,0.193604,0.040161,0.937433,-0.086286,-1.020524
-1.110840,0.190796,0.051025,0.944890,-0.071373,-1.019459
-1.135742,0.199951,0.070312,0.942759,-0.024501,-1.023720
-1.196533,0.202637,0.088257,0.952347,0.022371,-1.017328
-1.299316,0.195312,0.119873,0.936368,0.055394,-0.989631
-1.366455,0.151855,0.090088,1.138768,-0.076699,-0.925715
-1.283325,0.122070,0.065552,1.339038,-0.177899,-0.905475
-1.240723,0.128296,0.092163,1.559548,-0.205596,-0.912932
-1.171021,0.178345,0.134766,1.764079,-0.140615,-0.887366
-1.070557,0.232666,0.156860,1.873801,-0.051133,-0.773382
-0.946533,0.271851,0.149780,1.871670,-0.031958,-0.611462
-0.810547,0.279297,0.149536,1.765144,-0.039415,-0.436759
-0.749023,0.253052,0.139282,1.614942,-0.052198,-0.318514
-0.774048,0.225586,0.161987,1.463674,-0.060720,-0.224771
-0.838501,0.179077,0.169312,1.404019,-0.119310,-0.061785
-0.917847,0.168945,0.197998,1.272992,-0.198139,0.020240
-0.959351,0.111328,0.186646,1.079113,-0.312123,0.120375
-0.938599,0.033081,0.159546,1.101484,-0.389887,0.203466
-0.918335,0.007813,0.149902,1.177118,-0.427171,0.192813
-0.937378,0.002441,0.178833,1.255947,-0.410127,0.168312
-0.921265,0.022217,0.196411,1.300688,-0.323841,0.161920
-0.879639,0.041992,0.210815,1.215467,-0.194943,0.147007
-0.838135,0.025146,0.223633,1.114267,-0.067112,0.118244
-0.802124,0.036743,0.242310,1.032242,0.043676,0.072438
-0.790894,0.049927,0.257080,0.900149,0.107592,0.022371
-0.782593,0.025146,0.238647,0.838363,0.064981,0.017044
-0.782715,-0.018555,0.223389,0.817058,0.026632,-0.007457
