ax,ay,az,gx,gy,gz
-0.714600,0.117676,0.129272,1.032242,-0.192813,0.090548
-0.689453,0.140137,0.190063,1.072722,-0.126767,-0.005326
-0.728271,0.143921,0.199707,1.141964,-0.123571,-0.106526
-0.772217,0.153198,0.155151,1.193097,-0.202400,-0.204531
-0.795288,0.175781,0.128052,1.233577,-0.299339,-0.317449
-0.815796,0.222900,0.133423,1.210141,-0.356864,-0.413323
-0.817383,0.291138,0.169434,1.059939,-0.304666,-0.461260
-0.825317,0.290649,0.192383,0.928911,-0.171508,-0.445281
-0.829224,0.273682,0.181885,0.879909,-0.036219,-0.400540
-0.822510,0.261353,0.165649,0.903345,0.091613,-0.321710
-0.794678,0.265015,0.160034,0.933172,0.140615,-0.288687
-0.805420,0.283081,0.155762,0.929976,0.180030,-0.248207
-0.840820,0.278442,0.147827,0.920389,0.202400,-0.240750
-0.897827,0.278564,0.139893,0.903345,0.219445,-0.265251
-1.004150,0.280396,0.133423,0.886300,0.227967,-0.323841
-1.130859,0.274048,0.108887,0.893757,0.205596,-0.370712
-1.229858,0.277466,0.070190,0.899084,0.158724,-0.409062
-1.332153,0.295410,0.059692,0.860734,0.140615,-0.483630
-1.447754,0.350952,0.078125,0.661529,0.184291,-0.589091
-1.529907,0.442871,0.100586,0.415453,0.230097,-0.577374
-1.446533,0.471191,0.096436,0.129962,0.237554,-0.498544
-1.268433,0.472412,0.116943,-0.141680,0.248207,-0.332363
-1.051270,0.435669,0.146240,-0.360060,0.278034,-0.096939
-0.896118,0.365234,0.153564,-0.493218,0.309992,0.155529
-0.860718,0.306030,0.128052,-0.560329,0.262055,0.297209
-0.871460,0.291138,0.079468,-0.627441,0.120375,0.366451
-0.895264,0.287109,0.029053,-0.765925,-0.089482,0.416519
-0.937378,0.255859,-0.004517,-0.917193,-0.334493,0.438889
-0.997803,0.211304,-0.059692,-0.988566,-0.668986,0.477239
-1.079834,0.115967,-0.047607,-0.838363,-0.771252,0.502805
-1.061646,0.082642,-0.059448,-0.539024,-0.765925,0.546481
-0.991821,0.066284,-0.079224,-0.188552,-0.674313,0.604005
-0.950684,0.070801,-0.090454,0.119310,-0.531567,0.648746
-0.953979,0.078857,-0.086792,0.378169,-0.377104,0.676443
-0.963501,0.098999,-0.075073,0.548611,-0.242880,0.677508
-0.955566,0.119141,-0.064697,0.608266,-0.159790,0.637028
-0.948364,0.121338,-0.062134,0.625310,-0.135289,0.576308
-0.934448,0.131104,-0.071045,0.569917,-0.192813,0.436759
-0.888062,0.144897,-0.080322,0.459129,-0.237554,0.312123
-0.909058,0.164795,-0.040161,0.299339,-0.222640,0.162986
-0.902222,0.185791,-0.015015,0.197074,-0.191748,0.206661
-0.873535,0.146484,-0.009888,0.109722,-0.186421,0.235424
-0.867676,0.098145,0.007935,0.134223,-0.180030,0.132093
-0.874512,0.121704,0.040405,0.196009,-0.085221,0.014914
-0.890259,0.161743,0.007813,0.138484,0.012783,0.005326
-0.913330,0.134277,-0.035278,0.003196,0.027697,-0.107592
-0.932739,0.129639,-0.044678,-0.067112,-0.020240,-0.191748
-0.951294,0.128052,-0.008179,-0.080960,-0.107592,-0.291883
-0.953735,0.092163,0.013428,-0.027697,-0.139550,-0.390952
-0.957520,0.061279,0.043945,0.087352,-0.116114,-0.533698
-0.992920,0.021118,0.089111,0.383495,-0.054329,-0.698814
-1.040161,0.049438,0.133301,0.693487,0.034088,-0.907606
-1.083252,0.107910,0.156616,0.932107,0.098004,-1.075917
-1.116211,0.167358,0.152344,1.053547,0.115049,-1.204815
-1.168213,0.244263,0.117432,1.003479,0.059655,-1.340103
-1.264038,0.297485,0.093140,0.872452,-0.027697,-1.461543
-1.384644,0.403687,0.145508,0.447411,-0.058590,-1.547830
-1.486206,0.440674,0.122559,0.283360,-0.185356,-1.391236
-1.337769,0.469116,0.070435,0.094809,-0.364321,-1.153682
-1.106812,0.459961,0.057861,-0.083091,-0.466586,-0.835168
-0.919678,0.396606,0.060059,-0.189617,-0.444215,-0.528371
-0.832153,0.323486,0.050659,-0.211988,-0.351537,-0.192813
-0.838379,0.243408,0.044312,-0.134223,-0.257794,0.082025
-0.888672,0.190796,0.037964,0.004261,-0.210922,0.319579
-0.939453,0.169556,0.062744,0.105461,-0.200270,0.469782
-0.968384,0.152588,0.087280,0.233293,-0.202400,0.560329
-0.955444,0.147095,0.091431,0.448477,-0.193878,0.591222
-0.858398,0.171997,0.092163,0.532632,-0.169377,0.542220
-0.801514,0.166870,0.086426,0.575243,-0.135289,0.483630
-0.764893,0.155151,0.066406,0.573112,-0.112918,0.404801
-0.751221,0.172485,0.066162,0.497479,-0.085221,0.330232
-0.778442,0.164551,0.091919,0.427171,-0.042611,0.327036
-0.802734,0.156860,0.096313,0.402670,-0.008522,0.343015
-0.789673,0.149170,0.097046,0.340885,0.028762,0.335558
-0.824463,0.124146,0.098267,0.265251,0.078830,0.246076
-0.874878,0.139282,0.130615,0.074569,0.177899,0.227967
-0.910522,0.113159,0.161133,-0.030893,0.259925,0.149137
-0.945068,0.118774,0.165527,-0.136354,0.309992,0.050067
-0.947876,0.108521,0.168457,-0.211988,0.317449,-0.024501
-0.934448,0.094116,0.192871,-0.263120,0.321710,-0.063916
-0.911499,0.056641,0.202148,-0.211988,0.304666,-0.044741
-0.888672,0.036255,0.190552,-0.092678,0.275904,-0.052198
-0.879272,0.047485,0.190430,0.039415,0.229032,-0.058590
-0.874878,0.054077,0.178467,0.175769,0.173638,-0.057524
-0.880859,0.080688,0.155762,0.248207,0.117179,-0.077764
-0.922852,0.069458,0.119995,0.385626,0.006392,-0.049002
-0.952637,0.018433,0.111694,0.534763,-0.030893,-0.067112
-1.024658,0.031128,0.099243,0.700944,-0.042611,-0.107592
-1.098389,0.039551,0.082397,0.863930,-0.068177,-0.128897
-1.131104,0.010254,0.043823,1.080179,-0.103331,-0.092678
-1.176880,-0.020874,0.013184,1.317733,-0.140615,-0.040480
-1.256104,-0.060913,-0.027222,1.633051,-0.172573,0.025566
-1.360352,-0.107544,-0.055786,1.956892,-0.182160,0.024501
-1.420654,-0.067993,-0.022583,2.118812,-0.127832,-0.025566
-1.390869,0.003784,0.019653,2.087919,-0.005326,-0.117179
-1.217896,0.119385,0.044312,1.856757,0.047937,-0.209857
-1.071655,0.210815,0.067871,1.557417,0.067112,-0.301470
-0.962280,0.309204,0.078735,1.177118,0.044741,-0.344081
-0.947632,0.358398,0.105713,0.720119,-0.024501,-0.341950
-0.966187,0.306763,0.119141,0.388822,-0.094809,-0.181095
-0.989014,0.235352,0.128296,0.254598,-0.157659,-0.076699
-1.048706,0.218384,0.122681,0.283360,-0.283360,-0.042611
-1.057129,0.225464,0.089600,0.302535,-0.443150,0.055394
-1.011719,0.218506,0.091187,0.224771,-0.530502,0.144876
-0.999146,0.141602,0.041016,0.154463,-0.572047,0.389887
-0.979980,0.073120,0.009399,0.136354,-0.574178,0.512392
-0.948853,0.045044,-0.010620,0.109722,-0.556068,0.581635
-0.941162,0.041748,-0.018677,0.075634,-0.503870,0.610397
-0.944946,0.051025,-0.019165,0.005326,-0.436759,0.592287
-0.942505,0.039551,-0.010010,-0.106526,-0.356864,0.548611
-0.972534,0.043091,0.007568,-0.221575,-0.300405,0.456999
-0.940796,0.052856,0.013306,-0.307862,-0.263120,0.355798
-0.899780,0.077393,0.019653,-0.386691,-0.230097,0.237554
-0.865234,0.069458,0.033936,-0.460194,-0.175769,0.098004
-0.855713,0.043335,0.048584,-0.422910,-0.151268,-0.014914
-0.880249,0.055420,0.060547,-0.384561,-0.135289,-0.142745
-0.940552,0.051025,0.095337,-0.352603,-0.094809,-0.264186
-1.030273,0.010132,0.113281,-0.197074,-0.075634,-0.332363
