7,0.293213,0.001065,-0.029827,0.035154
-1.367065,0.015625,0.458496,2.209359,-1.560613,0.691357
-1.230713,0.196655,0.421631,3.446132,-1.218663,0.494283
-0.941650,0.489136,0.607056,3.889282,-0.912932,0.459129
-0.604248,0.796021,0.854248,3.076485,-0.709466,0.724380
-0.369263,0.911255,0.878540,1.492436,-0.637028,0.909736
-0.215820,0.735474,0.734253,0.073503,-0.589091,1.160073
-0.157959,0.475220,0.601562,-0.643420,-0.471912,1.280448
-0.166382,0.306763,0.590210,-0.761664,-0.334493,1.414672
-0.114136,0.158203,0.600708,-0.616788,-0.230097,1.094027
-0.016724,0.106567,0.619873,-0.294013,-0.095874,1.131311
-0.009521,0.164062,0.604004,-0.033023,0.002131,0.777643
-0.096436,0.230103,0.549438,0.165116,0.074569,0.407996
-0.136963,0.338257,0.495483,0.002131,0.145941,0.197074
-0.132446,0.380127,0.517456,-0.646616,0.215184,0.020240
-0.094727,0.269043,0.516724,-1.201619,0.278034,-0.142745
-0.084351,0.102051,0.510620,-1.162204,0.357929,-0.331297
-0.136475,0.054687,0.534180,-0.292948,0.465521,-0.569917
-0.180420,0.151733,0.638550,0.644485,0.532632,-0.731837
-0.134644,0.431152,0.758057,0.762730,0.475108,-0.715858
-0.175659,0.742432,0.910400,0.237554,0.484696,-0.753142
-0.281494,0.867920,0.923218,-0.524110,0.426106,-0.702010
-0.343994,0.756470,0.878662,-1.203749,0.454868,-0.548611
-0.398682,0.535889,0.875366,-1.425324,0.417584,-0.456999
-0.438477,0.291382,0.884399,-0.907606,0.354733,-0.364321
-0.412964,0.260010,0.823120,0.178964,0.346211,-0.392017
-0.385620,0.480469,0.785522,0.784035,0.390952,-0.332363
-0.410278,0.581787,0.772217,0.819189,0.435693,-0.362190
-0.412842,0.702393,0.844604,0.488957,0.453803,-0.286556
-0.448120,0.742554,1.017822,-0.682835,0.300405,-0.312123
-0.370972,0.482910,0.927246,-1.154747,0.148072,-0.392017
-0.287720,0.265503,0.594604,-0.746751,0.231162,-0.364321
-0.123779,0.335083,0.640381,-0.211988,0.608266,-0.192813
-0.338257,0.662354,1.034790,-0.678574,0.728641,-0.126767
-0.682251,0.552368,1.229614,-1.392301,0.515588,-0.236489
-0.687012,0.162476,1.098267,-1.005610,0.255664,-0.199205
-0.522583,0.128784,0.862061,-0.127832,0.126767,-0.008522
-0.489380,0.240723,0.725586,0.491087,0.094809,0.029827
-0.507446,0.336548,0.709351,0.781904,0.071373,-0.026632
-0.565186,0.439575,0.707275,0.523045,0.020240,-0.072438
-0.553467,0.456299,0.681885,0.233293,-0.027697,-0.100135
-0.523804,0.500977,0.656006,0.059655,-0.074569,-0.080960
-0.518799,0.528076,0.642212,-0.068177,-0.101200,-0.066046
-0.516724,0.477905,0.645142,-0.135289,-0.093743,-0.060720
-0.527588,0.398682,0.685669,-0.107592,-0.078830,-0.052198
-0.522217,0.387451,0.751221,-0.089482,-0.082025,-0.039415
-0.515259,0.380127,0.801270,-0.112918,-0.112918,-0.049002
-0.508057,0.365356,0.771362,-0.030893,-0.149137,-0.026632
-0.487061,0.439697,0.756592,0.121440,-0.084156,0.028762
-0.505859,0.466187,0.798950,-0.101200,-0.056459,0.023436
-0.518555,0.406128,0.789307,-0.353668,-0.040480,-0.013848
-0.525635,0.342285,0.765381,-0.362190,-0.024501,0.002131
-0.524292,0.333374,0.752075,-0.188552,-0.020240,0.019175
-0.516602,0.374390,0.738892,0.045806,-0.010653,0.059655
-0.480469,0.398926,0.765869,0.069242,0.010653,0.047937
-0.512329,0.373779,0.777710,-0.024501,0.011718,0.059655
-0.502686,0.360229,0.768066,-0.104396,0.013848,0.046872
-0.504150,0.357666,0.763550,-0.098004,0.012783,0.030893
-0.503174,0.384277,0.778320,-0.053263,0.007457,0.026632
-0.505249,0.374756,0.780762,-0.040480,-0.001065,0.004261
-0.512817,0.349731,0.767456,-0.034088,-0.014914,-0.011718
-0.518677,0.344116,0.754028,-0.021305,-0.025566,-0.024501
-0.520142,0.358032,0.749268,-0.005326,-0.038350,-0.022371
-0.521362,0.357910,0.743896,0.059655,-0.037284,-0.023436
-0.515381,0.368164,0.758789,0.098004,-0.036219,0.000000
-0.510376,0.378296,0.756104,0.094809,-0.035154,0.006392
-0.510498,0.375854,0.764526,0.080960,-0.024501,0.024501
-0.505005,0.395142,0.775391,0.028762,-0.017044,0.018110
-0.493896,0.395386,0.777344,-0.020240,-0.009587,0.011718
-0.494873,0.386963,0.781616,-0.044741,-0.009587,0.007457
-0.495972,0.380615,0.779907,-0.054329,-0.014914,0.005326
-0.496582,0.373413,0.772339,-0.035154,-0.019175,0.013848
-0.499512,0.359131,0.772705,0.025566,-0.020240,0.018110
-0.508423,0.359863,0.779907,0.066046,-0.037284,0.017044
-0.535767,0.348755,0.767212,0.088417,-0.067112,-0.007457
-0.526367,0.341553,0.736206,0.160855,-0.086286,-0.030893
